O3_+_hv_=>_O_+_O_+_O.txt
wavelength          200K                225K                250K                275K                300K                
1.21360000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.21510000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.21650000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.21800000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.21950000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22100000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22250000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22400000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22550000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22700000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.22850000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23000000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23150000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23300000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23460000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23610000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23760000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.23920000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24070000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24220000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24380000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24530000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24690000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.24840000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25000000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25160000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25310000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25470000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25630000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25790000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.25940000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26100000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26260000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26420000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26580000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26740000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.26900000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27230000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27390000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27550000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27710000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.27880000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28040000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28210000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28370000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28530000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28700000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.28870000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29030000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29200000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29370000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29530000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29700000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.29870000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30040000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30210000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30380000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30550000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30720000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.30890000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31230000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31410000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31580000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31750000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.31930000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32100000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32280000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32450000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32630000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32800000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.32980000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.33160000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.33330000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.33510000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.33690000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.33870000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34050000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34230000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34410000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34590000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34770000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.34950000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.35140000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.35320000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.35500000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.35690000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.35870000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36050000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36240000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36430000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36610000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36800000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.36990000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.37170000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.37360000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.37550000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
